Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
6256451,41,2,single,rented,yes,2,12,1
5768871,47,11,single,rented,no,3,14,1
9420838,48,6,single,rented,no,6,10,1
3666346,56,12,single,rented,no,12,11,1
8832725,64,5,single,rented,no,5,11,1
9760667,63,17,single,rented,no,13,12,1
9639445,45,9,single,rented,no,9,10,1
6868118,25,16,single,rented,no,13,13,1
1885923,46,16,single,rented,no,8,14,1
5554586,39,18,single,rented,no,13,13,1
9861298,59,16,single,rented,no,9,11,1
8773158,58,18,single,rented,yes,5,13,1
2116007,24,5,single,rented,yes,5,13,1
7839236,68,7,single,rented,no,7,14,1
6115704,57,17,single,owned,no,12,14,1
7433875,32,12,single,rented,yes,11,10,1
137594,52,10,single,rented,yes,7,10,1
8005608,65,8,single,rented,no,8,12,1
6275695,66,10,single,rented,no,10,11,1
5165629,61,0,single,rented,no,0,12,1
5522159,22,6,single,rented,no,6,12,1
4428363,46,11,single,rented,no,11,10,1
7154493,28,4,single,rented,no,4,13,1
8769550,23,13,single,rented,no,9,10,1
46750,33,13,single,rented,yes,10,11,1
7187813,47,2,single,rented,no,2,13,1
5644262,60,7,single,rented,no,3,11,1
4392927,41,2,single,rented,no,2,13,1
3775604,46,11,single,rented,no,5,11,1
8195887,79,16,single,rented,no,14,13,1
1134496,77,3,single,rented,no,3,10,1
1856689,46,5,single,rented,yes,5,12,1
8451099,70,4,single,rented,yes,4,13,1
624985,47,11,single,rented,no,6,11,1
233888,64,1,single,rented,no,1,10,1
6694786,69,17,single,norent_noown,no,11,11,1
9352887,53,6,single,rented,yes,6,11,1
9603186,43,5,single,rented,no,5,13,1
3489049,66,11,single,rented,no,11,12,1
5653642,42,3,single,rented,no,3,11,1
6862187,22,7,single,rented,no,7,12,1
979926,61,14,single,rented,yes,7,11,1
4736350,38,13,single,rented,no,6,13,1
6305461,41,11,single,rented,yes,7,14,1
7552268,38,6,single,rented,no,5,10,1
6668221,66,20,single,rented,no,11,11,1
5109740,39,6,single,rented,no,6,14,1
1882143,45,19,single,rented,yes,4,14,1
7167762,49,14,single,rented,no,12,14,1
7743419,71,15,single,rented,no,14,14,1
9305585,69,8,single,rented,no,8,10,1
6715263,29,0,single,rented,no,0,11,1
1632386,43,20,single,rented,no,11,14,1
7291839,41,1,single,rented,yes,1,12,1
4187964,78,2,single,rented,yes,2,10,1
6325118,21,13,single,rented,no,11,12,1
2955958,35,17,single,rented,yes,7,11,1
7167873,61,0,single,rented,yes,0,11,1
9127290,22,11,single,rented,no,3,14,1
5468664,30,2,single,rented,no,2,14,1
6787542,22,0,single,norent_noown,no,0,12,1
8143086,22,3,single,rented,no,3,11,1
8573668,57,15,single,rented,yes,13,13,1
1680177,33,18,single,owned,no,6,11,1
2429683,43,20,single,rented,no,14,11,1
7020077,63,9,single,rented,no,9,13,1
9815414,26,5,single,rented,no,5,14,1
4496096,55,17,single,rented,yes,13,13,1
4445947,53,17,single,rented,no,4,14,1
7660598,72,11,single,rented,no,11,13,1
1576088,37,13,single,rented,yes,7,12,1
8776228,37,15,single,rented,yes,14,11,1
6785181,32,11,single,rented,no,11,11,1
780090,55,9,single,norent_noown,no,9,14,1
4510338,53,17,single,rented,no,5,10,1
321358,78,17,single,rented,no,9,13,1
8698268,46,19,single,rented,yes,6,12,1
8927753,25,17,single,rented,yes,13,13,1
4273001,62,14,single,norent_noown,yes,14,14,1
527900,61,9,single,rented,yes,9,10,1
7914034,23,2,single,rented,no,2,10,1
7847940,64,16,single,rented,yes,10,11,1
6722440,47,7,single,rented,no,7,11,1
2259654,42,2,single,rented,no,2,10,1
9241363,62,18,single,rented,yes,5,11,1
649902,54,15,single,rented,no,8,11,1
9215066,69,11,single,rented,no,11,10,1
4432283,61,5,single,rented,no,5,10,1
7124175,44,15,single,rented,yes,7,10,1
7591621,41,6,single,owned,no,3,14,1
549476,47,1,single,rented,no,1,10,1
5628436,48,13,single,rented,no,10,10,1
223993,54,7,single,rented,no,7,11,1
706809,71,3,single,rented,no,3,13,1
4824858,58,15,single,rented,no,8,11,1
1988524,50,6,single,rented,no,6,13,1
1966474,26,16,single,rented,yes,4,10,1
976533,48,2,single,rented,no,2,10,1
